opinion
"""Excelente atención, muy atentos con los clientes y los precios súper accesibles. ¡Super recomendable!"""
"""Muy bueno, tienen de todo y los precios son buenos. Voy hace más de 10 años a comprar, siempre la misma buena gente."""
"""Excelente la atención y el asesoramiento tanto personalmente como por WhatsApp. Muy buena variedad y los precios."""
"""Excelente atención y precios."""
"""Muy buena atención, me consiguieron un repuesto que se descontinuó en 2020."""
"""Muy buena atención y excelentes precios."""
"""Buena atención, te atienden de 10 y buenos precios."""
"""Muy buena atención, además tienen los productos que se necesitan."""
"""Primera vez que concurro a este comercio pero seguramente no la última. Muy buenos precios, bien abastecido, atención y asesoramiento muy buenos."""
"""Como siempre, excelente atención, amplia disponibilidad y buenos precios."""
"""Excelente atención, muy buen trato, lo recomiendo 100%."""
"""Buena atención y buen precio."""
"""No me quisieron vender a pesar de que me pasaron presupuesto y tenían stock. El chico joven no tenía ganas de atender. Compré en otro lado, incluso más barato."""
"""Muy buena atención, no conseguí lo que necesitaba, pero el vendedor fue muy atento. Para recomendar."""
"""Excelente atención, muy buena onda, despejaron todas las dudas. Tuve un inconveniente con mi DNI y me atendieron bárbaro. Muy buena anécdota."""
"""Muy buena atención y profesionalismo."""
"""Tienen buenos precios. Pero debe mejorar la atención, sobre todo de quien creo que es la dueña. Ese día no tenían luz y no quería cobrarme con tarjeta de débito."""
"""Está cerrado y en la web figura abierto normalmente. Atención poco esmerada."""
"""Precios accesibles, buena gente, siempre respondieron mis preguntas por teléfono. Los recomiendo."""
"""Pedí una cotización, la empleada me atendió de mala gana y protestó. Terminé comprando en otro lado."""
"""En 2023 no aceptan Mercado Pago QR. Con débito quieren cobrar 3% más. Con transferencia tampoco garantizan."""
"""La atención es excelente, pero no aceptan Mercado Pago. Atrasan varios años con eso."""
"""Excelente atención, buenos precios."""
"""Muy buena atención."""
"""Muy buena atención y el vendedor tiene conocimiento."""
"""Muy buena atención. Súper recomendable."""
"""Muy bueno, tienen de todo, genios asesorando."""
"""Muy buena atención y cordialidad."""
"""Atención excelente, buen surtido, precios más o menos."""
"""Muy buenos precios, los chicos que atienden son de primera y ayudan en todo."""
"""Excelente atención, muy buen conocimiento del personal y muy amables."""
"""Es más caro que otros lugares. No dan presupuesto aunque te acerques. No brindan buena atención."""
"""Tienen todo lo referente a refrigeración, muy buenos precios en gases y accesorios, atención de diez."""
"""Te atienden enseguida, importante para los técnicos, gran predisposición."""
"""Comprás componentes eléctricos y los prueban ahí mismo. Esto no existe en otras casas. Muy amables."""
"""Muy buena atención, gran surtido, no siempre tienen buenos precios."""
"""Conseguí lo que necesitaba, buena atención y precios razonables."""
"""Gran variedad de productos y buena atención."""
"""Excelente atención, muy buenos precios."""
"""Los dos señores mayores muy amables, el más joven bastante antipático."""
"""No aceptan Mercado Pago QR, débito te ponen 3% más si es de MP."""
"""Buena atención y gran surtido de materiales."""
"""Buen lugar, completo."""
"""Muy buena atención."""
"""Buena atención y precio."""
"""Gran empresa, buena gente."""
"""Todo lo que necesiten está ahí, gente de primera."""
"""Buena atención, te explican si no sabés algo."""
"""Muy buenos precios y predisposición."""
"""Contra la ley, no trabajan con postnet, solo efectivo."""
"""Buen lugar para comprar y asesorarse."""
"""Variedad y buena atención."""
"""Excelente todo."""
"""Excelente servicio y atención."""
"""Excelente, los chicos unos genios."""
"""Atienden rápido y buena atención. Variedad de repuestos."""
"""Excelente atención y asesoramiento."""
"""Un lugar con gran variedad para el gremio de la refrigeración."""
"""Buena atención."""
"""Todo lo que busques sobre refrigeración y muy buena atención."""
"""Excelente atención, mejores precios en refrigerantes, envíos a domicilio."""
"""Excelente atención, unos capos."""
"""Muy buena atención."""
"""Me salvó en variedad, pero caro."""
"""Todo sobre refrigeración, las mejores marcas."""
"""Muy completo, excelente atención."""
"""Excelente como siempre."""
"""Muy buena gente."""
"""Buena y rápida atención."""
"""Siempre tienen todo."""
"""Muy buena atención."""
"""Todo de 10, encontré lo que buscaba."""
"""Buena atención."""
"""Todo perfecto."""
"""Muy buena atención."""
"""Mejor precio y se consigue de todo."""
"""Cordialidad y buen servicio."""
"""De todo en refrigeración."""
"""Buena atención."""
"""Repuestos para refrigeración, buenos precios."""
"""Precios elevados."""
"""Todo para refrigeración."""
"""Buen asesoramiento."""
"""Barato y rápido."""
"""Lo que quieras para el técnico en refrigeración."""
"""Excelente."""
"""Encontré todo lo que necesitaba."""
"""Buena atención."""
"""Buena atención."""
"""Fui a comprar un capacitor para forzador y me asesoraron muy bien, teniendo en cuenta que estoy iniciando carrera de técnico en refrigeración."""
